%X	Y	Z	R	G	B
-2.27143740654	3.20900011063	1.82691013813	0	0	0
-7.18412923813	11.6830005646	6.65122842789	0	0	0
-7.06710910797	11.5440006256	6.57209396362	0	0	0
-6.3642578125	10.6820001602	6.08135032654	0	0	0
-6.04640817642	10.7920007706	6.1439743042	0	0	0
-1.84777665138	3.34700012207	1.90547466278	0	0	0
-1.65570342541	3.34700012207	1.90547466278	0	0	0
-5.29890918732	11.0160007477	6.27149963379	0	0	0
-1.53059029579	3.27500009537	1.86448442936	0	0	0
-1.46930480003	3.20000004768	1.82178628445	0	0	0
-1.46155583858	3.30100011826	1.87928640842	0	0	0
-1.44197452068	3.27700018883	1.86562311649	0	0	0
-1.44351458549	3.30100011826	1.87928640842	0	0	0
-1.42406439781	3.27700018883	1.86562311649	0	0	0
-1.39163327217	3.28500008583	1.87017762661	0	0	0
-1.41885375977	3.3710000515	1.91913807392	0	0	0
-1.27840745449	3.34100008011	1.9020588398	0	0	0
-1.28637337685	3.3860001564	1.92767775059	0	0	0
-1.26391935349	3.35100007057	1.90775191784	0	0	0
-1.27273535728	3.39900016785	1.93507874012	0	0	0
-1.24820673466	3.35800027847	1.91173708439	0	0	0
-1.16839599609	3.36600017548	1.91629159451	0	0	0
-1.20913350582	3.5110001564	1.9988411665	0	0	0
-1.22010827065	3.60000014305	2.04950976372	0	0	0
-3.53314137459	11.3390007019	6.4553861618	0	0	0
-1.13536667824	3.67600011826	2.09277701378	0	0	0
-1.05111145973	3.4960000515	1.99030160904	0	0	0
-1.01265883446	3.39900016785	1.93507874012	0	0	0
-1.01134073734	3.42600011826	1.95044994354	0	0	0
-0.644366621971	3.68300008774	2.09676218033	0	0	0
-0.612429559231	3.5560002327	2.02446007729	0	0	0
-0.641525685787	3.78500008583	2.15483164787	0	0	0
-1.89955341816	11.7770004272	6.70474338531	0	0	0
-1.82614934444	11.7190008163	6.67172336578	0	0	0
-1.71782267094	11.6360006332	6.62447023392	0	0	0
-0.500277221203	3.51900005341	2.00339579582	0	0	0
-1.60443842411	11.7370004654	6.68197059631	0	0	0
-1.59152197838	11.8800001144	6.76338148117	0	0	0
-1.4438239336	11.7350006104	6.68083238602	0	0	0
-0.45510622859	3.78300023079	2.15369296074	0	0	0
-0.428308606148	3.64300012589	2.07398986816	0	0	0
-0.272027999163	2.61800003052	1.49044907093	0	0	0
-0.240435928106	2.58600020409	1.47223114967	0	0	0
-0.244679644704	2.79600024223	1.59178590775	0	0	0
-0.219320431352	2.58700013161	1.47280037403	0	0	0
-0.176593020558	2.30599999428	1.3128247261	0	0	0
-0.172137588263	2.33100008965	1.32705748081	0	0	0
-0.162338167429	2.37400007248	1.35153770447	0	0	0
-0.15611332655	2.37800002098	1.35381495953	0	0	0
-0.135834395885	2.2570002079	1.28492867947	0	0	0
-0.123806707561	2.15500020981	1.22685921192	0	0	0
-0.122185759246	2.23300004005	1.27126526833	0	0	0
-0.120710343122	2.3220000267	1.32193374634	0	0	0
-0.0996925830841	2.14300012589	1.22002756596	0	0	0
-0.0904435217381	2.20300006866	1.2541860342	0	0	0
-0.420238554478	11.8080005646	6.72239208221	0	0	0
-0.0655496269464	2.17600011826	1.23881471157	0	0	0
-0.0611919648945	2.23400020599	1.27183461189	0	0	0
-0.052054118365	2.11100006104	1.2018096447	0	0	0
-0.0510432906449	2.32800006866	1.32534956932	0	0	0
-0.0416490547359	2.17000007629	1.23539888859	0	0	0
-0.0362293682992	2.20100021362	1.25304746628	0	0	0
-0.0245628599077	2.23400020599	1.27183461189	0	0	0
-0.0197138786316	2.3860001564	1.35836946964	0	0	0
-0.00646087201312	2.3100001812	1.31510198116	0	0	0
-0.000149041705299	2.32100009918	1.32136440277	0	0	0
0.00621490227059	2.32899999619	1.32591891289	0	0	0
0.012654975988	2.34300017357	1.33388912678	0	0	0
0.0252539422363	2.32400012016	1.32307231426	0	0	0
0.0314687415957	2.3140001297	1.31737923622	0	0	0
0.038951780647	2.38500022888	1.35780012608	0	0	0
0.0447829440236	2.34900021553	1.33730506897	0	0	0
0.0501775741577	2.30200004578	1.31054759026	0	0	0
0.0561003014445	2.28700017929	1.30200791359	0	0	0
0.0627861842513	2.30300021172	1.31111693382	0	0	0
0.070939309895	2.36500000954	1.34641396999	0	0	0
0.0758966505527	2.31900000572	1.32022571564	0	0	0
0.0787586197257	2.22100019455	1.26443362236	0	0	0
0.0883035585284	2.31200003624	1.3162406683	0	0	0
0.0965450927615	2.35900020599	1.34299814701	0	0	0
0.103559099138	2.37200021744	1.35039913654	0	0	0
0.10530911386	2.27000021935	1.292329669	0	0	0
0.117751143873	2.39700007439	1.36463189125	0	0	0
0.119530566037	2.30500006676	1.31225550175	0	0	0
0.126921236515	2.32500004768	1.32364165783	0	0	0
0.132357597351	2.30900001526	1.31453275681	0	0	0
0.62085044384	10.3380002975	5.88550853729	0	0	0
0.120230257511	1.83500003815	1.0446805954	0	0	0
0.117600396276	1.72300004959	0.980918049812	0	0	0
0.123799547553	1.74400007725	0.992873549461	0	0	0
0.12797562778	1.73600006104	0.988319098949	0	0	0
0.134630858898	1.76100003719	1.00255179405	0	0	0
0.134589254856	1.64300012589	0.935373425484	0	0	0
0.140264183283	1.65700006485	0.943343698978	0	0	0
0.137539535761	1.57400012016	0.896091163158	0	0	0
0.154744461179	1.61900007725	0.921710014343	0	0	0
0.154351353645	1.57000005245	0.893813967705	0	0	0
0.158035427332	1.5640001297	0.890398085117	0	0	0
0.164696276188	1.58700013161	0.903492152691	0	0	0
